,City,Temperature,Latitude,Longitude,Cloudiness,Wind_Speed,Humidity
0,rikitea,25.04,-23.1203,-134.9692,15,3.09,76
1,broome,7.46,42.2506,-75.833,26,1.79,54
2,atar,35.2,20.5169,-13.0499,23,6.59,11
3,mudgal,27.31,16.0167,76.4333,50,10.57,47
4,bathsheba,29.0,13.2167,-59.5167,40,8.23,54
5,castro,22.44,-24.7911,-50.0119,30,3.31,51
6,jamestown,8.7,42.097,-79.2353,1,3.6,36
7,cape town,17.65,-33.9258,18.4232,20,4.12,77
8,ribeira grande,17.0,38.5167,-28.7,40,3.09,72
9,burgeo,6.37,47.6167,-57.6152,100,17.51,92
10,bambous virieux,25.26,-20.3428,57.7575,75,6.17,78
11,ushuaia,6.0,-54.8,-68.3,90,2.06,93
12,bluff,5.0,-46.6,168.3333,73,3.58,87
13,hobart,7.26,-42.8794,147.3294,1,1.03,93
14,vaini,24.0,-21.2,-175.2,75,2.06,94
15,mount isa,23.0,-20.7333,139.5,84,2.57,40
16,atuona,26.38,-9.8,-139.0333,71,6.11,75
17,hithadhoo,28.5,-0.6,73.0833,29,2.2,63
18,tiznit,17.87,29.5833,-9.5,53,5.5,64
19,mahebourg,26.0,-20.4081,57.7,75,6.17,78
20,bay roberts,9.84,47.5999,-53.2648,100,3.58,41
21,bethel,11.9,41.3712,-73.414,1,7.72,30
22,maceio,30.0,-9.6658,-35.7353,20,4.63,62
23,aklavik,-12.0,68.2191,-135.0107,89,4.63,67
24,thai nguyen,22.0,21.5928,105.8442,90,2.57,88
25,butaritari,28.36,3.0707,172.7902,85,6.43,75
26,tuktoyaktuk,-15.0,69.4541,-133.0374,1,6.17,78
27,kahului,20.89,20.8947,-156.47,1,1.54,83
28,harboore,7.78,56.6175,8.1807,4,2.68,40
29,alice springs,9.0,-23.7,133.8833,0,2.06,53
30,ojinaga,27.66,29.5667,-104.4167,1,2.06,15
31,busselton,13.89,-33.65,115.3333,100,0.45,91
32,georgetown,26.84,5.4112,100.3354,40,1.03,89
33,severo-kurilsk,-1.04,50.6789,156.125,100,9.76,94
34,ponta do sol,17.21,32.6667,-17.1,55,1.34,68
35,albany,9.85,42.6001,-73.9662,6,2.68,31
36,agadir,22.0,30.4202,-9.5982,75,7.2,56
37,dehui,13.0,44.5333,125.7,0,5.0,33
38,thinadhoo,28.29,0.5333,72.9333,47,1.73,63
39,algiers,20.0,36.7525,3.042,40,3.6,64
40,pangai,27.0,-19.8,-174.35,97,6.92,79
41,rusera,29.32,25.75,86.0333,23,2.49,9
42,pedernales,28.4,18.0384,-71.744,31,3.07,62
43,kyenjojo,16.95,0.6328,30.6214,77,0.07,97
44,new norfolk,7.75,-42.7826,147.0587,8,1.25,78
45,punta arenas,7.89,-53.15,-70.9167,90,1.54,93
46,nenjiang,14.3,49.1833,125.2167,95,8.94,36
47,shakawe,23.72,-18.3667,21.85,74,2.31,34
48,port elizabeth,16.0,-33.918,25.5701,75,9.77,88
49,anadyr,-8.0,64.75,177.4833,0,1.21,93
50,qaanaaq,2.97,77.484,-69.3632,32,2.76,74
51,saint george,13.34,37.1041,-113.5841,75,5.66,58
52,husavik,4.0,66.0449,-17.3389,0,4.63,70
53,krasnoselkup,-3.44,65.7,82.4667,15,5.51,89
54,tasiilaq,4.0,65.6145,-37.6368,75,4.51,75
55,hermanus,15.0,-34.4187,19.2345,8,3.98,85
56,monrovia,31.0,6.3005,-10.7969,20,5.66,74
57,kamenka,7.02,51.3223,42.7678,95,3.59,66
58,codrington,13.09,-38.2667,141.9667,87,2.58,76
59,minot,6.91,48.2325,-101.2963,90,1.9,66
60,kapaa,22.61,22.0752,-159.319,75,5.14,73
61,bolshevik,0.78,54.0065,27.5692,75,3.0,86
62,qasigiannguit,11.0,68.8193,-51.1922,75,7.72,40
63,berlevag,2.0,70.8578,29.0864,40,6.17,64
64,upernavik,2.53,72.7868,-56.1549,89,2.43,90
65,ostrovnoy,-0.96,68.0531,39.5131,100,8.89,79
66,bredasdorp,14.0,-34.5322,20.0403,0,2.57,94
67,sitka,8.0,57.0531,-135.33,1,1.55,66
68,paamiut,1.56,61.994,-49.6678,100,4.48,95
69,betanzos,14.57,43.2804,-8.2147,75,3.09,88
70,bambanglipuro,24.41,-7.95,110.2833,14,2.13,86
71,yulara,14.0,-25.2406,130.9889,0,3.6,41
72,sao joao da barra,30.0,-21.6403,-41.0511,40,3.09,62
73,salalah,28.0,17.0151,54.0924,20,3.09,74
74,mataura,5.0,-46.1927,168.8643,100,3.58,87
75,arraial do cabo,26.43,-22.9661,-42.0278,20,4.63,78
76,mokhsogollokh,-1.69,61.4681,128.9203,100,1.21,98
77,barrow,-12.0,71.2906,-156.7887,1,6.69,85
78,dikson,-0.06,73.5069,80.5464,100,8.71,98
79,east london,21.0,-33.0153,27.9116,0,3.6,83
80,nanortalik,1.62,60.1432,-45.2371,100,2.59,98
81,saint-philippe,22.47,-21.3585,55.7679,90,6.69,73
82,longyearbyen,-5.0,78.2186,15.6401,20,4.63,63
83,saint-ambroise,0.0,48.5501,-71.3324,100,8.23,100
84,matamoros,32.4,25.5333,-103.25,75,2.22,12
85,olafsvik,5.85,64.8945,-23.7142,4,2.65,62
86,leh,2.23,34.1667,77.5833,7,1.45,29
87,faanui,26.93,-16.4833,-151.75,8,1.9,68
88,lorengau,27.07,-2.0226,147.2712,100,0.85,76
89,katsuura,10.72,35.1333,140.3,20,5.14,58
90,hilo,19.61,19.7297,-155.09,1,2.57,73
91,tuatapere,5.0,-46.1333,167.6833,96,3.58,87
92,cairns,22.89,-16.9167,145.7667,75,4.63,88
93,rio grande,21.46,-32.035,-52.0986,20,6.17,49
94,souillac,26.0,-20.5167,57.5167,75,6.17,78
95,provideniya,1.18,64.3833,-173.3,46,0.07,85
96,muana,31.57,-1.5283,-49.2167,65,1.89,55
97,lavrentiya,-4.67,65.5833,-171.0,78,1.39,82
98,veraval,27.55,20.9,70.3667,23,4.62,79
99,amparo,28.31,-22.7011,-46.7644,40,2.31,47
100,avarua,22.0,-21.2078,-159.775,80,1.54,100
101,nikolskoye,5.01,59.7035,30.7861,90,2.0,81
102,oranjemund,16.37,-28.55,16.4333,21,2.67,92
103,bari,17.98,41.1177,16.8512,0,5.14,42
104,cayenne,25.65,4.9333,-52.3333,75,2.57,94
105,kavieng,27.64,-2.5744,150.7967,99,0.49,75
106,tiksi,-8.85,71.6872,128.8694,100,4.32,95
107,elesbao veloso,33.26,-6.2019,-42.1403,44,0.39,44
108,manyana,20.98,-23.4,21.7167,1,3.03,25
109,petropavlovsk-kamchatskiy,0.0,53.0452,158.6483,90,3.0,100
110,clyde river,-3.0,70.4692,-68.5914,90,1.03,93
111,beringovskiy,-0.81,63.05,179.3167,78,0.7,91
112,khatanga,-8.72,71.9667,102.5,100,5.0,94
113,tura,27.3,25.5198,90.2201,63,1.56,24
114,kruisfontein,16.67,-34.0033,24.7314,100,0.45,88
115,flinders,12.54,-34.5833,150.8552,7,0.45,89
116,norman wells,-11.0,65.282,-126.8329,75,2.57,48
117,tala,15.87,30.6803,30.9429,0,4.55,72
118,moranbah,16.08,-22.0016,148.0466,24,3.8,81
119,chuy,19.2,-33.6971,-53.4616,40,5.05,54
120,marsh harbour,24.1,26.5412,-77.0636,8,6.85,71
121,komsomolskiy,20.0,40.4272,71.7189,0,3.09,37
122,balkanabat,28.91,39.5108,54.3671,1,1.2,27
123,mar del plata,16.38,-38.0023,-57.5575,40,4.12,67
124,papara,29.17,-3.9839,-38.7273,20,7.72,66
125,tabou,28.02,4.423,-7.3528,99,4.67,78
126,hovd,1.92,48.0056,91.6419,39,0.85,27
127,puerto suarez,26.59,-18.95,-57.8,75,2.06,69
128,pevek,-9.62,69.7008,170.3133,100,1.28,94
129,tigil,-3.2,57.8,158.6667,100,1.16,97
130,ronne,6.0,55.1009,14.7066,16,5.14,70
131,caravelas,28.64,-17.7125,-39.2481,72,4.32,60
132,thompson,3.0,55.7435,-97.8558,75,4.12,81
133,roald,6.0,62.5833,6.1333,0,7.2,52
134,quatre cocos,25.17,-20.2078,57.7625,75,6.17,78
135,quelimane,27.0,-17.8786,36.8883,40,2.57,89
136,ondangwa,26.0,-17.9167,15.95,2,1.03,27
137,dunedin,6.11,-45.8742,170.5036,89,6.71,71
138,mehamn,1.54,71.0357,27.8492,40,6.17,64
139,kodiak,6.0,57.79,-152.4072,90,3.6,81
140,ivanava,0.94,52.1451,25.5365,75,3.2,73
141,hurghada,27.0,27.2574,33.8129,0,6.69,32
142,batemans bay,10.01,-35.7167,150.1833,6,0.45,92
143,somerset west,17.0,-34.084,18.8211,20,4.12,77
144,college,5.21,64.8569,-147.8028,75,0.78,49
145,bengkulu,24.37,-3.8004,102.2655,16,2.04,90
146,liaocheng,12.62,36.4439,115.9647,57,4.22,91
147,jiwani,29.06,25.05,61.7417,0,2.47,58
148,chulman,-0.37,56.8479,124.9104,100,0.68,99
149,bonthe,29.17,7.5264,-12.505,52,4.94,66
150,susurluk,12.51,39.9136,28.1578,0,3.09,62
151,klaksvik,6.0,62.2266,-6.589,75,7.72,87
152,makaryev,0.55,57.8797,43.8069,40,2.61,92
153,sao filipe,22.14,14.8961,-24.4956,18,4.22,77
154,ilulissat,11.0,69.2167,-51.1,75,8.23,40
155,le port,21.79,-20.9373,55.2919,75,7.2,83
156,caxito,29.0,-8.5785,13.6643,20,4.63,79
157,barra patuca,29.89,15.8,-84.2833,51,4.87,53
158,sola,27.41,-13.8833,167.55,96,3.68,75
159,lebu,15.58,-37.6167,-73.65,0,5.81,69
160,pozo colorado,26.32,-23.4923,-58.7972,0,3.09,27
161,tautira,25.77,-17.7333,-149.15,40,3.09,78
162,mangochi,22.55,-14.4782,35.2645,90,1.23,81
163,horni plana,7.03,48.7674,14.0326,65,2.24,50
164,isangel,24.43,-19.55,169.2667,99,3.75,71
165,port alfred,20.71,-33.5906,26.891,99,4.84,83
166,constitucion,19.1,-35.3333,-72.4167,0,5.75,53
167,japura,23.3,-0.3167,102.35,67,0.6,97
168,alofi,22.0,-19.0595,-169.9187,67,0.51,94
169,turbat,32.89,26.0023,63.044,34,2.49,25
170,changji,12.0,44.0167,87.3167,0,2.0,47
171,arnedo,14.71,42.2167,-2.1,40,1.54,72
172,finote selam,16.28,10.7,37.2667,100,1.58,87
173,yellowknife,-16.0,62.456,-114.3525,40,5.66,60
174,marawi,23.89,7.9986,124.2928,95,2.24,89
175,palm coast,24.82,29.585,-81.2078,75,6.17,50
176,half moon bay,12.62,37.4636,-122.4286,75,3.6,76
177,kaitangata,5.0,-46.2817,169.8464,73,0.89,84
178,saldanha,16.0,-33.0117,17.9442,14,7.72,88
179,vila,16.67,42.0304,-8.1588,99,0.89,77
180,arman,-11.35,59.7,150.1667,16,2.25,91
181,moron,20.45,-34.6534,-58.6198,75,1.54,59
182,rio gallegos,19.0,-51.6226,-69.2181,75,11.32,32
183,harlingen,28.93,26.1906,-97.6961,75,9.77,65
184,mariental,25.83,-24.6333,17.9667,54,4.77,22
185,khasan,5.48,42.4308,130.6434,96,0.21,94
186,pisco,19.67,-13.7,-76.2167,75,4.63,82
187,gaoua,34.36,10.2992,-3.2508,63,3.36,32
188,rodrigues alves,27.0,-7.738,-72.6509,75,3.09,89
189,porto seguro,28.0,-16.4497,-39.0647,40,7.2,61
190,rundu,21.33,-17.9333,19.7667,17,1.88,28
191,farmington,19.13,36.7281,-108.2187,1,8.23,9
192,cherskiy,-15.53,68.75,161.3,60,3.03,98
193,salinopolis,28.8,-0.6136,-47.3561,96,4.46,70
194,lethem,31.41,3.3803,-59.7968,99,3.8,56
195,nome,3.39,64.5011,-165.4064,90,2.36,75
196,saint-francois,16.85,46.4154,3.9054,0,2.06,48
197,buala,26.91,-8.145,159.5921,74,2.51,82
198,kaeo,9.44,-35.1,173.7833,12,2.24,95
199,mandalgovi,-0.6,45.7625,106.2708,99,4.46,75
200,luderitz,16.84,-26.6481,15.1594,48,3.68,89
201,fougamou,25.24,-1.2154,10.5838,95,1.39,91
202,mitsamiouli,27.49,-11.3847,43.2844,57,3.84,73
203,kedrovoye,5.0,57.1576,60.5698,0,3.0,45
204,plettenberg bay,17.92,-34.0527,23.3716,100,3.12,79
205,onega,1.18,63.9061,38.1404,100,4.57,83
206,vardo,0.0,70.3705,31.1107,75,3.6,93
207,dinguiraye,36.22,11.3,-10.7167,79,4.14,24
208,vung tau,28.05,10.346,107.0843,82,3.33,77
209,marang,25.78,5.2056,103.2059,20,2.06,94
210,tilichiki,-1.28,60.4667,166.1,100,1.82,98
211,carnarvon,18.0,-24.8667,113.6333,1,2.57,82
212,adrar,36.57,20.5022,-10.0711,36,3.4,12
213,bose,11.68,45.4612,8.0137,100,0.51,90
214,lysyanka,3.81,49.2523,30.8295,63,3.35,70
215,katangli,-5.08,51.7102,143.2326,12,2.24,92
216,kasempa,18.53,-13.4584,25.8338,41,0.8,70
217,gravdal,3.0,68.1214,13.5031,40,5.66,75
218,oksfjord,1.02,70.2396,22.3479,20,3.6,80
219,te anau,1.83,-45.4167,167.7167,74,0.53,91
220,fukue,16.49,32.6881,128.8419,50,2.95,64
221,dingle,24.38,10.9995,122.6711,45,2.95,85
222,pacific grove,12.71,36.6177,-121.9166,1,3.09,51
223,abu dhabi,31.43,24.4667,54.3667,0,3.09,40
224,doha,29.01,25.2867,51.5333,0,2.57,58
225,sunndalsora,5.74,62.6754,8.5515,20,3.09,48
226,la tuque,0.0,47.4334,-72.7824,100,6.17,74
227,varazdin,6.39,46.3044,16.3378,100,0.42,64
228,mpanda,19.2,-6.3655,31.0409,61,0.77,93
229,damara,33.0,4.9608,18.7035,20,1.03,52
230,san quintin,16.72,30.4833,-115.95,100,5.06,68
231,fortuna,11.3,40.5982,-124.1573,75,2.04,71
232,leningradskiy,-3.89,69.3833,178.4167,100,2.33,95
233,balabac,26.87,7.9868,117.0645,63,1.59,76
234,fare,26.92,-16.7,-151.0167,27,1.54,68
235,hailey,7.53,43.5196,-114.3153,1,2.06,53
236,hasaki,5.38,35.7333,140.8333,20,1.54,65
237,richards bay,19.81,-28.783,32.0377,17,1.64,88
238,aconibe,21.52,1.2968,10.9369,93,1.03,95
239,saskylakh,-20.81,71.9167,114.0833,92,2.15,100
240,fairbanks,5.08,64.8378,-147.7164,1,0.7,70
241,korem,14.86,12.5058,39.5228,100,0.99,65
242,agadez,34.61,19.75,10.25,0,3.16,9
243,san vicente,21.96,-26.6167,-54.1333,0,1.96,34
244,seymchan,-20.96,62.8833,152.4333,10,0.55,97
245,padang,25.0,-0.9492,100.3543,20,1.54,94
246,general roca,19.0,-39.0333,-67.5833,0,0.51,59
247,huarmey,22.93,-10.0681,-78.1522,26,5.19,73
248,riyadh,34.0,24.6877,46.7219,75,2.57,13
249,conakry,30.0,9.538,-13.6773,75,5.14,54
250,san carlos de bariloche,17.18,-41.1456,-71.3082,0,3.6,38
251,pervomayskoye,12.21,43.919,46.7102,100,1.74,89
252,cabo san lucas,26.1,22.8909,-109.9124,40,4.86,33
253,helong,9.28,42.5397,128.9972,100,1.27,62
254,makat,14.86,47.6469,53.3463,100,6.96,67
255,volsk,9.25,52.0333,47.3833,100,1.05,50
256,moerai,25.2,-22.4333,-151.3333,98,4.24,67
257,kloulklubed,25.0,7.0419,134.2556,75,4.26,88
258,benghazi,17.91,32.1167,20.0667,4,5.51,66
259,payo,22.93,-3.7508,103.6372,14,1.16,92
260,hay river,-15.51,60.8156,-115.7999,92,4.63,72
261,abha,15.0,18.2164,42.5053,0,2.06,77
262,xining,4.71,36.6167,101.7667,54,1.69,48
263,laguna,14.75,38.421,-121.4238,1,1.68,54
264,ushtobe,13.6,45.2514,77.9838,70,3.82,36
265,vacaville,15.92,38.3566,-121.9877,40,2.57,41
266,ocean city,14.9,39.2776,-74.5746,1,7.72,33
267,talnakh,-12.29,69.4865,88.3972,95,3.92,87
268,alvorada,31.67,-12.48,-49.1247,91,0.71,48
269,meulaboh,25.34,4.1363,96.1285,100,1.97,88
270,rocha,18.3,-34.4833,-54.3333,22,5.88,57
271,alanya,20.0,36.5438,31.9998,0,2.06,77
272,san ramon,12.83,37.7799,-121.978,75,4.63,66
273,ossora,-2.32,59.2353,163.0719,100,2.02,95
274,kavaratti,29.2,10.5669,72.642,0,3.33,72
275,nizwa,28.97,22.9333,57.5333,41,0.62,18
276,port-gentil,30.0,-0.7193,8.7815,75,4.63,74
277,bereda,13.51,43.2686,-7.5406,79,4.02,100
278,verkhnevilyuysk,-9.17,63.4453,120.3167,93,4.02,90
279,noumea,22.77,-22.2763,166.4572,75,2.06,88
280,vadso,1.0,70.0744,29.7487,75,2.06,69
281,gat,17.81,31.61,34.7642,19,3.35,100
282,gore,5.0,-46.1028,168.9436,98,3.13,87
283,sorland,3.0,67.667,12.6934,20,5.66,81
284,cidreira,21.16,-30.1811,-50.2056,61,6.19,55
285,ancud,12.43,-41.8697,-73.8203,75,5.66,77
286,amvrosiyivka,7.95,47.7935,38.4777,79,4.83,82
287,kisanga,23.07,-7.4362,37.7034,95,0.7,95
288,qeshm,27.51,26.9581,56.2719,14,4.12,69
289,belluno,8.85,46.145,12.2214,100,0.45,90
290,saint-louis,40.0,16.3333,-15.0,0,1.03,14
291,kattivakkam,29.0,13.2167,80.3167,40,2.57,74
292,la palma,16.24,33.8464,-118.0467,75,3.6,52
293,cabedelo,30.0,-6.9811,-34.8339,40,5.14,66
294,kabala,30.24,9.5833,-11.55,83,3.16,45
295,aranjuez,19.15,40.0311,-3.6025,20,4.12,52
296,rietavas,2.0,55.7194,21.9311,75,3.09,93
297,bintulu,25.0,3.1667,113.0333,20,2.06,94
298,pingxiang,15.5,27.6167,113.85,100,1.2,98
299,puerto ayora,29.0,-0.7393,-90.3518,20,4.12,65
300,saint thomas,29.0,13.1833,-59.5833,40,8.23,54
301,pangoa,19.97,-12.1167,-73.0,100,1.08,98
302,storforshei,2.89,66.4043,14.5233,75,4.12,65
303,kurilsk,-1.96,45.2333,147.8833,36,9.42,67
304,poplar bluff,21.98,36.757,-90.3929,1,7.2,53
305,san cristobal,32.0,7.7669,-72.225,40,4.63,55
306,monroe,7.25,43.1501,-77.6831,20,3.09,36
307,alihe,8.05,50.5667,123.7167,100,1.67,60
308,hamilton,20.68,39.1834,-84.5333,4,0.45,37
309,vao,23.18,-22.6667,167.4833,90,10.27,68
310,porto-vecchio,15.0,41.591,9.2795,90,6.69,88
311,meiringen,6.82,46.7268,8.184,75,4.63,47
312,kenai,3.6,60.5544,-151.2583,1,3.6,70
313,atkinson,9.66,42.8384,-71.147,1,7.72,40
314,iracoubo,25.62,5.4802,-53.2011,100,5.28,86
315,kuching,25.79,1.55,110.3333,20,1.54,89
316,dzilam gonzalez,35.08,21.2833,-88.9333,51,2.24,35
317,sao francisco de paula,16.95,-29.4481,-50.5836,81,0.45,73
318,myaundzha,-18.66,63.0494,147.1858,91,0.71,99
319,esperance,19.0,-33.8667,121.9,100,4.63,63
320,tomatlan,33.28,19.9333,-105.25,100,4.46,33
321,iqaluit,0.77,63.7506,-68.5145,75,4.12,86
322,port hardy,8.23,50.6996,-127.4199,75,2.06,87
323,tokur,-0.64,53.1333,132.9,100,1.99,83
324,biak,24.3,-0.9131,122.8766,76,2.23,83
325,bilma,35.45,18.6853,12.9164,13,4.31,9
326,humberto de campos,29.29,-2.5983,-43.4611,100,3.78,70
327,saint-joseph,22.5,-21.3667,55.6167,90,6.69,73
328,russell,24.17,32.3502,-85.1999,1,2.06,46
329,dubbo,7.0,-32.25,148.6167,0,5.66,76
330,vanimo,25.05,-2.6741,141.3028,81,0.65,84
331,nabire,24.18,-3.3667,135.4833,99,1.22,87
332,ayan,-3.43,56.45,138.1667,90,1.96,93
333,gualeguay,19.62,-33.1416,-59.3097,34,1.09,56
334,guerrero negro,18.58,27.9769,-114.0611,91,5.23,55
335,siniscola,17.0,40.5719,9.6922,20,6.17,82
336,baghdad,35.0,33.3406,44.4009,85,8.23,16
337,abu samrah,16.26,35.3029,37.1841,0,7.44,66
338,lodja,25.09,-3.4833,23.4333,92,0.5,74
339,grindavik,9.0,63.8424,-22.4338,0,3.6,66
340,opuwo,22.22,-18.0607,13.84,7,1.32,30
341,isla vista,17.1,34.4133,-119.861,1,5.66,51
342,bhairab bazar,32.0,24.0667,90.9667,67,4.12,58
343,xuanhua,11.5,40.6103,115.0447,73,5.84,13
344,faya,15.0,18.3851,42.4509,0,2.06,77
345,ermelo,11.98,-26.5333,29.9833,2,2.39,23
346,saint-georges,29.0,12.0564,-61.7485,20,12.86,70
347,mozarlandia,32.65,-14.7447,-50.5706,66,2.59,36
348,iralaya,30.0,15.0,-83.2333,40,5.14,79
349,borgarnes,10.29,64.5383,-21.9206,20,3.09,58
350,lewiston,7.41,44.1003,-70.2148,20,9.26,45
351,lodwar,27.03,3.1191,35.5973,99,9.68,63
352,namibe,24.97,-15.1961,12.1522,11,3.96,73
353,makakilo city,21.96,21.3469,-158.0858,1,2.06,73
354,karsun,5.39,54.1994,46.9827,29,1.55,60
355,airai,13.15,-8.9266,125.4092,22,0.55,77
356,sisimiut,2.68,66.9395,-53.6735,97,5.34,84
357,maneadero,17.22,31.7167,-116.5667,100,1.34,74
358,touros,31.0,-5.1989,-35.4608,40,7.2,58
359,carballo,12.92,43.213,-8.691,99,3.13,95
360,gobo,10.0,33.8833,135.15,75,1.54,62
361,kanniyakumari,28.77,8.0833,77.5667,23,4.4,77
362,santa rosalia,24.03,27.3167,-112.2833,40,2.14,27
