,City,Temperature,Latitude,Longitude,Cloudiness,Wind_Speed,Humidity
0,butaritari,28.09,3.0707,172.7902,39,5.48,76
2,sorland,2.76,67.667,12.6934,61,11.24,67
3,atar,31.37,20.5169,-13.0499,2,4.25,12
4,bethel,20.71,41.3712,-73.414,1,3.6,21
5,vardo,1.12,70.3705,31.1107,100,9.93,84
6,holme,3.61,56.1138,10.1725,20,2.06,56
10,qaanaaq,-2.36,77.484,-69.3632,85,2.94,71
12,sao filipe,22.41,14.8961,-24.4956,38,4.7,75
14,cherskiy,-8.53,68.75,161.3,91,4.99,95
19,hearst,-3.0,49.6835,-83.6665,100,4.12,80
20,chokurdakh,-23.43,70.6333,147.9167,5,2.17,95
21,khatanga,0.14,71.9667,102.5,100,7.71,97
22,georgetown,26.87,5.4112,100.3354,40,1.03,89
24,jamestown,15.21,42.097,-79.2353,1,3.09,30
25,magadan,-8.79,59.5667,150.8,95,5.09,68
27,aklavik,3.0,68.2191,-135.0107,20,1.03,52
31,guerrero negro,19.97,27.9769,-114.0611,3,7.37,56
32,visnes,5.0,59.3556,5.2242,6,12.35,70
34,barrow,-6.0,71.2906,-156.7887,1,1.54,93
35,seoul,10.34,37.5683,126.9778,0,1.54,87
38,khani,10.0,41.9563,42.9566,0,1.03,93
39,dikson,-15.16,73.5069,80.5464,17,4.51,98
43,ayagoz,0.58,47.9714,80.4392,35,3.01,42
44,tiksi,-0.81,71.6872,128.8694,100,4.95,93
46,kahului,22.0,20.8947,-156.47,40,7.72,83
47,berlevag,0.94,70.8578,29.0864,98,6.25,70
49,xiuyan,6.75,40.2928,123.2744,41,3.02,45
50,udachnyy,-8.99,66.4167,112.4,100,1.49,97
51,san cristobal,32.0,7.7669,-72.225,40,6.17,55
52,carman,7.0,49.4992,-98.0016,100,4.12,16
53,gornyye klyuchi,0.14,45.25,133.5,73,1.49,64
55,iracoubo,25.57,5.4802,-53.2011,100,5.51,87
57,kapaa,24.47,22.0752,-159.319,40,7.72,69
58,hadgaon,31.3,19.5,77.6667,0,2.35,15
59,abu samrah,23.61,35.3029,37.1841,93,4.3,36
60,yellowknife,-7.62,62.456,-114.3525,75,5.14,53
62,ocampo,30.56,21.65,-101.5,100,4.51,50
64,san patricio,35.02,28.017,-97.5169,1,6.17,11
65,kodiak,7.0,57.79,-152.4072,90,3.6,76
67,thompson,-4.0,55.7435,-97.8558,75,2.57,54
68,haines junction,8.0,60.7522,-137.5108,16,1.03,31
70,harper,27.85,4.375,-7.7169,92,4.76,79
72,new port richey,28.73,28.2442,-82.7193,100,1.34,61
73,saint anthony,6.75,45.0205,-93.218,75,4.12,53
74,igrim,5.74,63.1906,64.4162,100,2.26,84
76,partizanskoye,0.14,55.5006,94.39,100,1.19,96
79,san quintin,17.99,30.4833,-115.95,21,8.16,66
80,victoria,23.58,22.2855,114.1577,77,0.45,87
83,ribeira grande,15.0,38.5167,-28.7,40,6.17,67
84,tuktoyaktuk,-4.0,69.4541,-133.0374,40,2.57,80
85,araouane,33.79,18.9048,-3.5265,61,2.54,10
86,wuda,8.66,39.4994,106.7117,100,4.31,74
88,sosnovo-ozerskoye,3.58,52.5249,111.5418,97,2.72,22
89,gornopravdinsk,3.17,60.05,69.9,100,1.61,83
90,banda aceh,26.5,5.5577,95.3222,100,4.79,74
91,uvarovka,-0.29,55.5278,35.6061,35,3.4,81
93,boyle,10.99,37.6334,-84.8666,90,4.12,100
95,verkhnevilyuysk,-1.02,63.4453,120.3167,100,1.67,94
97,hilo,20.15,19.7297,-155.09,90,2.06,83
98,yerbogachen,-1.68,61.2767,108.0108,100,0.66,96
100,hovd,-3.48,48.0056,91.6419,34,6.26,21
103,mandera,27.88,3.9366,41.867,81,2.16,66
104,mozhaysk,0.03,55.5019,36.0272,65,3.62,82
106,clyde river,-8.0,70.4692,-68.5914,75,4.12,100
108,hobyo,28.99,5.3505,48.5268,76,5.51,69
109,ornskoldsvik,1.0,63.2909,18.7153,20,5.14,55
110,aswan,30.25,24.0934,32.907,0,6.47,9
113,valparai,25.0,10.3667,76.9667,75,0.98,94
114,miraflores,26.88,19.2167,-98.8083,1,2.06,17
116,flin flon,-1.0,54.7682,-101.865,75,3.01,37
117,svay rieng,27.01,11.0879,105.7993,43,2.94,77
118,meulaboh,24.27,4.1363,96.1285,100,1.12,85
119,venice,28.94,27.0998,-82.4543,1,6.69,74
120,svetlaya,2.56,46.5389,138.3297,100,2.72,68
121,gursu,13.0,40.2188,29.1949,75,2.57,71
123,alpena,14.0,45.0617,-83.4327,90,3.6,47
124,oranjestad,30.0,12.524,-70.027,20,10.8,62
125,toora-khem,-1.32,52.4675,96.11,100,1.91,84
126,vicovu de sus,6.94,47.9333,25.6833,0,0.51,65
127,colares,17.44,38.7992,-9.4469,20,3.6,88
128,naze,17.82,28.3667,129.4833,94,8.84,69
129,saint-augustin,4.48,51.226,-58.6502,91,3.05,74
130,hami,7.85,42.8,93.45,94,3.99,25
131,albany,19.77,42.6001,-73.9662,88,3.42,17
132,husavik,10.0,66.0449,-17.3389,0,4.12,62
133,sigli,25.44,5.3848,95.9609,100,2.32,77
134,saltillo,25.42,25.4167,-101.0,3,1.34,18
136,linqiong,19.0,30.4159,103.4609,40,2.0,72
137,ponta do sol,13.97,32.6667,-17.1,21,1.34,77
138,mogadishu,28.22,2.0371,45.3438,97,6.05,75
140,vestmannaeyjar,8.01,63.4427,-20.2734,100,8.77,82
142,la ronge,-2.0,55.1001,-105.2842,100,2.57,39
143,maine-soroa,33.07,13.2114,12.0241,64,3.66,16
144,eureka,12.12,40.8021,-124.1637,100,3.13,75
146,leshukonskoye,7.92,64.8989,45.7622,42,2.83,67
148,margate,7.22,51.3813,1.3862,100,2.24,81
149,najran,28.0,17.4924,44.1277,75,5.14,24
150,lazaro cardenas,29.51,17.9583,-102.2,100,4.78,52
151,norman wells,2.0,65.282,-126.8329,75,4.63,44
152,lahij,25.77,13.1667,44.5833,20,1.74,62
153,the valley,28.75,18.217,-63.0578,40,5.66,65
156,bonavista,9.0,48.6499,-53.1147,90,6.69,53
157,awjilah,18.65,29.1081,21.2869,0,10.63,67
159,matara,25.27,5.9485,80.5353,97,1.84,89
161,baoshan,3.91,46.5586,131.4244,39,7.34,46
162,kosh-agach,-9.81,50.0,88.6667,42,2.1,74
163,upernavik,1.31,72.7868,-56.1549,11,2.73,85
164,yeniseysk,0.42,58.4497,92.1703,100,1.03,98
165,mastic beach,17.23,40.7668,-72.8521,1,5.14,30
167,derzhavinsk,8.15,51.1,66.3167,93,8.47,41
168,bhuj,28.03,23.2667,69.6667,15,3.81,57
171,hoa binh,27.0,20.8133,105.3383,75,3.6,94
172,aktau,14.0,43.65,51.2,0,5.0,62
173,lernapat,10.0,40.8163,44.3926,5,0.51,66
174,salalah,27.79,17.0151,54.0924,51,2.74,74
175,cayenne,26.49,4.9333,-52.3333,75,2.57,83
176,mecca,30.68,21.4267,39.8261,99,1.87,31
181,bandarbeyla,28.56,9.4942,50.8122,74,3.56,76
182,saskylakh,-0.6,71.9167,114.0833,97,5.24,94
183,quebec,18.32,46.8123,-71.2145,55,2.57,48
184,bhadasar,25.39,28.2833,74.3167,0,3.0,18
186,tessalit,33.35,20.1986,1.0114,0,3.76,6
188,aksu,12.93,41.1231,80.2644,11,2.2,31
189,rudbar,24.03,30.15,62.6,3,4.21,12
190,ormara,27.02,25.2088,64.6357,0,0.91,78
192,lovozero,0.2,68.005,35.0117,100,2.14,97
193,umm lajj,29.66,25.0213,37.2685,0,2.6,42
196,kavaratti,28.85,10.5669,72.642,27,3.45,75
197,zhigansk,0.46,66.7697,123.3711,100,3.88,98
199,iberia,28.11,29.9502,-91.7507,75,6.69,69
200,bilma,33.46,18.6853,12.9164,2,4.39,10
201,sal rei,23.0,16.1833,-22.9167,75,8.75,68
202,talnakh,-0.85,69.4865,88.3972,100,7.23,97
203,fairbanks,11.0,64.8378,-147.7164,1,2.57,32
204,saint george,26.35,37.1041,-113.5841,1,9.26,14
205,campbell river,9.36,50.0163,-125.2446,90,4.12,93
206,nome,2.59,64.5011,-165.4064,1,0.85,69
207,tilichiki,-3.22,60.4667,166.1,100,1.61,90
209,tazmalt,19.12,36.3868,4.3989,87,1.97,57
210,vuktyl,5.87,63.8567,57.3094,100,3.39,80
211,solone,2.89,48.2081,34.8721,0,1.0,75
212,erzin,19.9,36.9559,36.2,0,1.54,49
213,clovis,20.93,36.8252,-119.7029,90,2.57,26
214,alzamay,-4.48,55.5562,98.6644,45,0.92,98
216,longyearbyen,-4.0,78.2186,15.6401,75,2.06,68
217,katsuura,15.26,35.1333,140.3,20,5.14,63
219,ilulissat,5.0,69.2167,-51.1,40,3.09,60
221,port-cartier,9.49,50.0334,-66.8654,75,7.2,46
224,amapa,25.38,1.0,-52.0,100,1.48,97
225,bosansko grahovo,3.33,44.1794,16.3639,6,4.47,62
226,saiha,19.3,22.4833,92.9667,97,1.84,32
227,olafsvik,6.72,64.8945,-23.7142,100,8.32,83
228,nikolskoye,3.57,59.7035,30.7861,0,2.0,65
230,bend,11.04,44.0582,-121.3153,75,2.06,54
232,fallon,18.68,39.4735,-118.7774,75,4.12,19
233,ocos,29.93,14.5094,-92.1933,90,2.57,65
234,bubaque,25.85,11.2833,-15.8333,12,9.7,67
235,hasaki,8.63,35.7333,140.8333,20,2.06,93
236,laramie,11.25,41.3114,-105.5911,1,6.69,19
237,ler,28.21,8.3018,30.1418,91,1.57,54
238,lichuan,9.61,30.3,108.85,100,1.57,95
239,manaure,32.29,11.7751,-72.4445,97,6.57,50
240,makakilo city,25.82,21.3469,-158.0858,1,4.12,54
243,fort frances,3.92,48.5999,-93.4003,75,5.66,35
244,evensk,-6.69,61.95,159.2333,100,5.17,78
245,boguchany,0.52,58.3814,97.4531,100,1.11,99
246,valera,29.18,9.3178,-70.6036,86,1.33,65
247,okitipupa,25.41,6.5047,4.7839,83,1.35,90
248,petit goave,31.0,18.4314,-72.8669,75,6.17,58
249,hofn,8.27,64.2539,-15.2082,100,3.21,86
251,orlik,-5.77,52.5178,99.825,100,0.68,91
252,camacha,18.0,33.0833,-16.3333,20,7.2,68
253,palmer,20.57,42.1584,-72.3287,75,5.14,19
254,murgab,20.0,37.4966,61.9714,90,2.06,42
255,laiwu,12.25,36.1928,117.6569,100,3.24,71
256,ucluelet,9.28,48.9329,-125.5528,90,4.12,93
257,moses lake,11.42,47.1301,-119.2781,90,2.57,82
258,tecoanapa,29.96,16.5167,-98.75,98,5.16,56
259,santa cruz del sur,30.02,20.7147,-77.9956,3,6.44,55
