,City,Temperature,Latitude,Longitude,Cloudiness,Wind_Speed,Humidity
1,mataura,8.33,-46.1927,168.8643,92,1.34,91
7,punta arenas,10.77,-53.15,-70.9167,40,4.12,71
8,ushuaia,13.0,-54.8,-68.3,75,2.57,54
9,vaini,22.0,-21.2,-175.2,40,0.51,100
11,rikitea,25.83,-23.1203,-134.9692,100,7.77,74
13,hermanus,17.22,-34.4187,19.2345,100,2.24,81
15,east london,19.37,-33.0153,27.9116,70,2.22,85
16,luderitz,17.61,-26.6481,15.1594,14,0.93,78
17,saint-philippe,22.9,-21.3585,55.7679,20,11.83,83
18,san juan,23.15,-31.5375,-68.5364,0,4.19,26
23,new norfolk,7.75,-42.7826,147.0587,99,1.34,86
26,mar del plata,18.14,-38.0023,-57.5575,40,6.69,55
28,busselton,11.11,-33.65,115.3333,0,0.64,89
29,airai,14.0,-8.9266,125.4092,58,1.23,92
30,atuona,27.11,-9.8,-139.0333,2,8.46,70
33,hervey bay,15.56,-25.2986,152.8535,0,1.34,87
36,gondanglegi,22.77,-7.7479,112.0132,1,2.22,84
37,bluff,8.33,-46.6,168.3333,96,1.34,91
40,bengkulu,24.04,-3.8004,102.2655,100,1.57,88
41,arraial do cabo,25.57,-22.9661,-42.0278,20,5.66,73
42,ulladulla,8.02,-35.35,150.4667,90,3.6,71
45,aripuana,27.64,-9.1667,-60.6333,81,0.49,89
48,port alfred,19.33,-33.5906,26.891,50,3.82,86
54,springbok,19.11,-29.6643,17.8865,79,0.98,43
56,coquimbo,17.0,-29.9533,-71.3436,20,5.66,67
61,avarua,27.0,-21.2078,-159.775,40,5.14,74
63,carnarvon,18.0,-24.8667,113.6333,0,4.12,82
66,popondetta,22.35,-8.7537,148.2534,100,1.2,96
69,bredasdorp,12.0,-34.5322,20.0403,87,1.54,87
71,antofagasta,19.0,-23.65,-70.4,20,5.66,55
75,geraldton,15.0,-28.7667,114.6,57,2.06,94
77,belmonte,28.0,-15.8631,-38.8828,40,5.66,69
78,chuy,21.04,-33.6971,-53.4616,100,2.19,78
81,comodoro rivadavia,19.0,-45.8667,-67.5,75,2.06,55
82,dutlwe,19.22,-23.9833,23.9,0,1.89,25
87,mount gambier,11.0,-37.8333,140.7667,75,2.06,93
92,emerald,15.8,-23.5333,148.1667,19,4.63,44
94,inhambane,22.19,-23.865,35.3833,0,4.25,79
96,isangel,25.76,-19.55,169.2667,98,4.91,78
99,dalby,5.0,-27.1833,151.2667,67,2.57,100
101,cape town,15.93,-33.9258,18.4232,0,3.09,88
102,lebu,13.98,-37.6167,-73.65,0,7.56,71
105,gisborne,12.75,-38.6533,178.0042,5,2.83,77
107,acarau,27.12,-2.8856,-40.12,96,6.54,82
111,puerto ayora,26.79,-0.7393,-90.3518,75,4.12,78
112,mahebourg,26.0,-20.4081,57.7,75,7.72,83
115,castro,21.24,-24.7911,-50.0119,81,0.79,64
122,bambous virieux,26.05,-20.3428,57.7575,75,7.72,83
135,port elizabeth,14.0,-33.918,25.5701,0,3.6,100
139,kruisfontein,15.0,-34.0033,24.7314,96,1.51,92
141,port lincoln,14.14,-34.7333,135.8667,0,1.54,71
145,senanga,19.79,-16.1167,23.2667,71,2.07,52
147,warrnambool,11.11,-38.3833,142.4833,93,2.61,96
154,carutapera,26.93,-1.195,-46.02,100,2.45,81
155,port moresby,24.0,-9.4431,147.1797,75,1.54,94
158,faanui,26.67,-16.4833,-151.75,100,4.37,74
160,constitucion,17.94,-35.3333,-72.4167,6,7.11,59
166,kaeo,11.67,-35.1,173.7833,18,1.34,96
169,sola,28.14,-13.8833,167.55,100,8.02,76
170,vanimo,24.74,-2.6741,141.3028,100,1.69,87
177,fare,26.77,-16.7,-151.0167,100,3.58,71
178,yeppoon,19.0,-23.1333,150.7333,65,3.09,77
179,maputo,21.84,-25.9653,32.5892,20,2.06,83
180,batemans bay,7.6,-35.7167,150.1833,61,1.34,93
185,pisco,22.19,-13.7,-76.2167,0,9.26,68
187,teluknaga,26.79,-6.0989,106.6381,20,1.54,78
191,kavieng,27.23,-2.5744,150.7967,68,3.44,78
194,mount isa,20.0,-20.7333,139.5,2,3.09,40
195,hithadhoo,28.42,-0.6,73.0833,15,3.27,69
198,hobart,8.37,-42.8794,147.3294,40,4.12,81
208,alofi,25.0,-19.0595,-169.9187,69,1.03,100
215,kainantu,15.74,-6.2887,145.8655,93,0.15,96
218,port shepstone,19.74,-30.7414,30.455,11,3.97,87
220,viedma,16.6,-40.8135,-62.9967,95,6.48,56
222,chimoio,20.0,-19.1164,33.4833,40,2.06,88
223,namibe,26.06,-15.1961,12.1522,0,3.43,76
229,luganville,27.01,-15.5333,167.1667,79,3.27,84
231,kieta,25.96,-6.2167,155.6333,51,0.3,82
241,labuhan,24.98,-6.8844,112.2051,20,2.63,84
242,yulara,11.0,-25.2406,130.9889,35,3.09,62
250,molteno,10.16,-31.3968,26.3625,71,1.63,26
262,ancud,12.79,-41.8697,-73.8203,75,4.12,77
265,nabire,23.59,-3.3667,135.4833,100,1.61,94
266,jacareacanga,29.35,-6.2222,-57.7528,100,0.85,73
270,saldanha,16.0,-33.0117,17.9442,91,2.57,77
271,lorengau,27.29,-2.0226,147.2712,93,1.93,76
274,port hedland,20.0,-20.3167,118.5667,0,3.09,60
278,bulungu,21.79,-4.55,18.6,100,1.17,93
284,touros,28.0,-5.1989,-35.4608,20,5.14,74
287,santa vitoria do palmar,21.15,-33.5189,-53.3681,100,2.36,78
290,sao joao da barra,27.0,-21.6403,-41.0511,40,4.12,65
291,cairns,22.89,-16.9167,145.7667,75,3.6,100
292,cachoeira do sul,17.96,-30.0392,-52.8939,100,1.14,97
296,tarauaca,27.5,-8.1614,-70.7656,48,1.33,91
299,tual,29.2,-5.6667,132.75,100,7.09,65
306,puerto suarez,32.0,-18.95,-57.8,0,3.09,51
312,padang,24.75,-0.9492,100.3543,68,1.13,87
315,ihosy,18.6,-22.4,46.1167,91,3.7,87
316,codrington,10.46,-38.2667,141.9667,96,2.19,89
317,durban,19.36,-29.8579,31.0292,40,5.66,83
319,kirakira,26.28,-10.4544,161.9205,100,2.26,82
320,port augusta,11.0,-32.5,137.7667,0,2.06,87
322,cidreira,22.5,-30.1811,-50.2056,24,4.96,77
328,esperance,14.0,-33.8667,121.9,31,6.17,77
332,kaitangata,7.78,-46.2817,169.8464,28,0.89,87
339,vao,24.47,-22.6667,167.4833,100,6.28,68
342,mpwapwa,18.17,-6.35,36.4833,74,1.91,97
343,port-gentil,28.0,-0.7193,8.7815,40,2.57,83
346,vila velha,26.0,-20.3297,-40.2925,20,5.14,69
351,bangkalan,26.0,-7.0455,112.7351,40,1.54,94
352,plettenberg bay,16.39,-34.0527,23.3716,84,1.89,91
355,port keats,20.6,-14.25,129.55,78,3.8,33
357,dunedin,10.0,-45.8742,170.5036,79,3.58,71
359,henties bay,18.3,-22.116,14.2845,0,2.73,82
363,palmerston,19.0,-12.486,130.9833,98,1.54,63
369,paita,30.0,-5.0892,-81.1144,0,6.69,51
370,tuatapere,8.33,-46.1333,167.6833,100,1.34,91
372,camacupa,19.65,-12.0167,17.4833,94,1.62,58
374,phalaborwa,21.0,-23.943,31.1411,5,0.51,78
376,beloha,24.02,-25.1667,45.05,7,5.83,60
378,mackay,19.77,-21.15,149.2,90,3.09,100
379,ambon,25.0,-3.6954,128.1814,40,2.06,94
384,altamira,26.0,-3.2033,-52.2064,75,1.54,89
388,maumere,25.93,-8.6199,122.2111,10,1.99,78
394,codajas,29.22,-3.8367,-62.0569,73,1.3,77
396,rantepao,18.53,-2.9701,119.8978,99,1.1,97
398,kiunga,22.54,-6.1219,141.2906,100,2.64,98
405,charters towers,18.9,-20.1,146.2667,100,4.28,89
408,madimba,24.23,-10.4,40.3333,100,3.47,91
413,chato,19.07,-2.6378,31.7669,100,1.93,91
415,canavieiras,26.06,-15.675,-38.9472,69,2.76,74
416,palu,23.95,-0.8917,119.8707,78,1.51,94
420,katherine,15.0,-14.4667,132.2667,96,1.54,63
423,rocha,18.63,-34.4833,-54.3333,100,3.16,90
442,montepuez,20.31,-13.1256,38.9997,100,2.36,97
444,cabedelo,28.0,-6.9811,-34.8339,20,3.6,74
447,piacabucu,26.97,-10.4056,-36.4344,47,3.52,74
453,calama,19.0,-22.4667,-68.9333,40,10.8,32
459,luanda,26.0,-8.8368,13.2343,40,1.54,83
462,flinders,10.46,-34.5833,150.8552,0,0.45,81
466,souillac,26.0,-20.5167,57.5167,75,7.72,83
477,boende,22.29,-0.2167,20.8667,45,1.47,92
484,el alto,30.0,-4.2714,-81.2147,0,6.69,51
488,igarapava,29.0,-20.0383,-47.7469,0,3.09,26
493,boueni,28.0,-12.9025,45.0761,75,3.09,78
494,bambanglipuro,23.85,-7.95,110.2833,21,1.59,83
506,victor harbor,13.33,-35.5667,138.6167,41,1.91,84
508,honiara,25.93,-9.4333,159.95,79,0.9,83
514,nelson bay,10.63,-32.7167,152.15,0,3.09,93
515,merauke,25.05,-8.4667,140.3333,96,2.83,91
523,rio grande,22.8,-32.035,-52.0986,40,3.6,64
524,te anau,9.39,-45.4167,167.7167,100,2.88,92
529,poum,25.68,-20.2333,164.0167,92,6.92,81
535,karratha,25.49,-20.7377,116.8463,0,3.77,35
538,waipawa,10.15,-41.4122,175.5153,40,1.54,100
541,buala,26.61,-8.145,159.5921,58,0.79,81
543,pringsewu,23.29,-5.3582,104.9744,94,1.55,91
